Station Name,Zipcode,Latitude,Longitude
Hyatt at Fisherman's Wharf,94133,37.80619,-122.4152
Palace Hotel,94105,37.78881,-122.401
Mark Hopkins InterContinental Hotel,94108,37.791791,-122.411265
Parc 55 Hotel,94102,37.784871,-122.408991
Beach & Hyde Garage,94109,37.806798,-122.419488
Golden Gate Park - Music Concourse Garage,94118,37.768766,-122.468341
InterContinental Hotel - San Francisco,94103,37.782079,-122.404764
San Francisco State University,94132,37.720848,-122.477023
Fort Mason,94123,37.804677,-122.428903
Fort Mason,94123,37.805045,-122.428183
Pacific Place Garage,94103,37.784911,-122.405334
Stonestown Galleria Trader Joes,94132,37.726664,-122.47599
Extra Space Storage,94124,37.749068,-122.402416
Stanford Court Hotel,94108,37.791983,-122.409718
Golden Gate National Recreation Area - Fort Mason,94123,37.803955,-122.429484
Fort Mason,94123,37.8067536,-122.4310408
Caltrans - District 32,94134,37.73345,-122.409883
Fuse Project,94103,37.7660567,-122.401169
Anchorage Garage - 500 Beach,94133,37.80748,-122.4178309
Tishman Speyer,94104,37.791185,-122.39968
Owens St Parking Garage,94158,37.767928,-122.3942639
Environmental Protection Agency,94105,37.785487,-122.398057
Department of Veterans Affairs VISN 21,94121,37.782007,-122.505051
101 Second Street Garage - Tesla Destination,94111,37.788097,-122.39918
101 California Street Garage - Tesla Destination,94111,37.792826,-122.397675
345 California Center Parking Garage - Tesla Destination,94111,37.792496,-122.39998
"Hotel Kabuki, a Joie de Vivre Hotel - Tesla Destination",94115,37.785523,-122.428919
"Hotel Buchanan, a Kimpton Hotel - Tesla Destination",94115,37.78679,-122.430143
Loews Regency San Francisco - Tesla Destination,94104,37.792442,-122.401039
Hilton San Francisco Union Square - Tesla Destination,94102,37.786079,-122.410433
The Westin St. Francis San Francisco on Union Square - Tesla Destination,94102,37.787828,-122.408731
Park Central Hotel - Tesla Destination,94103,37.78671,-122.402827
The Ritz-Carlton Hotel San Francisco - Tesla Destination,94108,37.791878,-122.407178
San Francisco Marriott Marquis - Tesla Destination,94103,37.7849,-122.4043
The Fairmont San Francisco - Tesla Destination,94108,37.792496,-122.410035
InterContinental Mark Hopkins San Francisco - Tesla Destination,94108,37.791596,-122.410385
San Francisco Zoo - Tesla Destination,94132,37.73313,-122.505159
Bay Area Metro Center,94105,37.787815,-122.391285
Fairmont Heritage Place Ghirardelli Square - Tesla Destination,94109,37.805388,-122.423418
521422-Ghiradelli Square,94109,37.805639,-122.4225
