Data_Year,ZIP,Number of Vehicles
2009,94107,1
2009,94115,1
2009,94118,2
2009,94131,1
2010,94102,2
2010,94105,1
2010,94108,1
2010,94109,3
2010,94111,1
2010,94115,2
2010,94116,2
2010,94118,1
2010,94123,3
2010,94130,1
2010,94131,1
2010,94133,2
2011,94102,4
2011,94103,1
2011,94107,5
2011,94109,8
2011,94110,17
2011,94111,2
2011,94112,2
2011,94114,13
2011,94115,1
2011,94116,12
2011,94117,7
2011,94118,7
2011,94121,7
2011,94122,11
2011,94123,5
2011,94124,2
2011,94127,6
2011,94131,14
2011,94132,3
2011,94133,1
2011,94134,3
2012,94102,3
2012,94103,76
2012,94105,10
2012,94107,5
2012,94109,3
2012,94110,7
2012,94112,5
2012,94114,13
2012,94115,6
2012,94116,7
2012,94117,7
2012,94118,5
2012,94121,5
2012,94122,3
2012,94123,5
2012,94127,5
2012,94130,1
2012,94131,15
2012,94132,3
2012,94133,4
2012,94134,5
2013,94102,8
2013,94103,16
2013,94104,4
2013,94105,18
2013,94107,39
2013,94108,8
2013,94109,24
2013,94110,34
2013,94111,9
2013,94112,17
2013,94114,45
2013,94115,25
2013,94116,20
2013,94117,38
2013,94118,42
2013,94121,37
2013,94122,22
2013,94123,33
2013,94124,8
2013,94127,30
2013,94129,5
2013,94130,3
2013,94131,53
2013,94132,8
2013,94133,12
2013,94134,14
2013,94146,1
2013,94158,12
2013,94159,1
2014,94102,7
2014,94103,24
2014,94104,12
2014,94105,21
2014,94107,48
2014,94108,8
2014,94109,37
2014,94110,53
2014,94111,8
2014,94112,41
2014,94114,63
2014,94115,34
2014,94116,57
2014,94117,31
2014,94118,39
2014,94121,52
2014,94122,53
2014,94123,41
2014,94124,29
2014,94127,52
2014,94128,1
2014,94129,9
2014,94130,3
2014,94131,58
2014,94132,17
2014,94133,23
2014,94134,14
2014,94158,4
2014,94159,1
2015,94102,13
2015,94103,37
2015,94104,13
2015,94105,35
2015,94107,63
2015,94108,9
2015,94109,31
2015,94110,94
2015,94111,15
2015,94112,44
2015,94114,76
2015,94115,45
2015,94116,85
2015,94117,47
2015,94118,62
2015,94119,2
2015,94121,58
2015,94122,45
2015,94123,48
2015,94124,35
2015,94127,50
2015,94128,1
2015,94129,10
2015,94130,3
2015,94131,77
2015,94132,24
2015,94133,27
2015,94134,19
2015,94141,1
2015,94158,8
2015,94164,1
2016,94102,12
2016,94103,31
2016,94104,11
2016,94105,43
2016,94107,64
2016,94108,10
2016,94109,36
2016,94110,73
2016,94111,9
2016,94112,61
2016,94114,78
2016,94115,52
2016,94116,47
2016,94117,54
2016,94118,76
2016,94121,68
2016,94122,51
2016,94123,52
2016,94124,23
2016,94127,61
2016,94129,15
2016,94130,2
2016,94131,59
2016,94132,25
2016,94133,28
2016,94134,27
2016,94158,14
2017,94102,26
2017,94103,32
2017,94104,97
2017,94105,31
2017,94107,65
2017,94108,15
2017,94109,43
2017,94110,97
2017,94111,17
2017,94112,52
2017,94114,92
2017,94115,50
2017,94116,65
2017,94117,55
2017,94118,57
2017,94121,62
2017,94122,71
2017,94123,45
2017,94124,29
2017,94127,67
2017,94129,11
2017,94130,2
2017,94131,93
2017,94132,22
2017,94133,22
2017,94134,21
2017,94139,1
2017,94158,19
2017,94164,1
2017,94188,1
2018,94102,52
2018,94103,78
2018,94104,127
2018,94105,158
2018,94107,186
2018,94108,13
2018,94109,111
2018,94110,222
2018,94111,18
2018,94112,128
2018,94114,232
2018,94115,110
2018,94116,179
2018,94117,147
2018,94118,138
2018,94119,1
2018,94121,122
2018,94122,179
2018,94123,111
2018,94124,74
2018,94127,142
2018,94128,2
2018,94129,22
2018,94130,5
2018,94131,207
2018,94132,72
2018,94133,58
2018,94134,65
2018,94146,1
2018,94158,54
2018,94159,1
2018,94164,1
2019,94102,41
2019,94103,85
2019,94104,49
2019,94105,95
2019,94107,164
2019,94108,15
2019,94109,109
2019,94110,209
2019,94111,15
2019,94112,137
2019,94114,180
2019,94115,99
2019,94116,177
2019,94117,131
2019,94118,130
2019,94119,1
2019,94121,126
2019,94122,189
2019,94123,104
2019,94124,84
2019,94127,129
2019,94128,1
2019,94129,22
2019,94130,3
2019,94131,197
2019,94132,79
2019,94133,50
2019,94134,81
2019,94158,52
2019,94188,1
2020,94102,95
2020,94103,121
2020,94104,11
2020,94105,134
2020,94107,234
2020,94108,30
2020,94109,138
2020,94110,262
2020,94111,23
2020,94112,177
2020,94114,267
2020,94115,187
2020,94116,177
2020,94117,182
2020,94118,157
2020,94119,1
2020,94121,136
2020,94122,227
2020,94123,152
2020,94124,114
2020,94127,135
2020,94128,1
2020,94129,25
2020,94130,2
2020,94131,233
2020,94132,79
2020,94133,59
2020,94134,77
2020,94158,101
2020,94188,2
2021,94102,18
2021,94102,25
2021,94102,21
2021,94102,27
2021,94103,50
2021,94103,37
2021,94103,38
2021,94103,39
2021,94104,2
2021,94104,2
2021,94104,2
2021,94104,5
2021,94105,49
2021,94105,48
2021,94105,40
2021,94105,48
2021,94107,64
2021,94107,72
2021,94107,89
2021,94107,76
2021,94108,7
2021,94108,7
2021,94108,7
2021,94108,10
2021,94109,44
2021,94109,47
2021,94109,43
2021,94109,61
2021,94110,97
2021,94110,84
2021,94110,79
2021,94110,75
2021,94111,5
2021,94111,5
2021,94111,9
2021,94111,10
2021,94112,58
2021,94112,67
2021,94112,58
2021,94112,78
2021,94114,77
2021,94114,71
2021,94114,68
2021,94114,87
2021,94115,55
2021,94115,44
2021,94115,52
2021,94115,50
2021,94116,55
2021,94116,56
2021,94116,73
2021,94116,81
2021,94117,59
2021,94117,47
2021,94117,40
2021,94117,50
2021,94118,51
2021,94118,55
2021,94118,50
2021,94118,56
2021,94119,1
2021,94121,42
2021,94121,35
2021,94121,45
2021,94121,72
2021,94122,59
2021,94122,72
2021,94122,65
2021,94122,75
2021,94123,36
2021,94123,34
2021,94123,42
2021,94123,39
2021,94124,16
2021,94124,27
2021,94124,37
2021,94124,40
2021,94126,1
2021,94127,39
2021,94127,35
2021,94127,36
2021,94127,49
2021,94128,1
2021,94129,6
2021,94129,9
2021,94129,3
2021,94129,7
2021,94130,3
2021,94130,1
2021,94130,2
2021,94130,1
2021,94131,51
2021,94131,54
2021,94131,68
2021,94131,67
2021,94132,40
2021,94132,31
2021,94132,33
2021,94132,31
2021,94133,27
2021,94133,19
2021,94133,19
2021,94133,26
2021,94134,29
2021,94134,32
2021,94134,40
2021,94134,42
2021,94146,1
2021,94146,1
2021,94158,25
2021,94158,15
2021,94158,23
2021,94158,26
2022,94102,33
2022,94102,28
2022,94102,22
2022,94102,31
2022,94103,56
2022,94103,43
2022,94103,48
2022,94103,71
2022,94104,2
2022,94104,20
2022,94104,8
2022,94104,4
2022,94105,60
2022,94105,49
2022,94105,57
2022,94105,67
2022,94107,93
2022,94107,81
2022,94107,72
2022,94107,116
2022,94108,8
2022,94108,6
2022,94108,9
2022,94108,11
2022,94109,53
2022,94109,62
2022,94109,58
2022,94109,46
2022,94110,89
2022,94110,89
2022,94110,90
2022,94110,127
2022,94111,12
2022,94111,8
2022,94111,10
2022,94111,13
2022,94112,92
2022,94112,107
2022,94112,116
2022,94112,154
2022,94114,100
2022,94114,83
2022,94114,69
2022,94114,93
2022,94115,50
2022,94115,50
2022,94115,63
2022,94115,81
2022,94116,69
2022,94116,94
2022,94116,81
2022,94116,99
2022,94117,80
2022,94117,37
2022,94117,39
2022,94117,73
2022,94118,75
2022,94118,57
2022,94118,58
2022,94118,95
2022,94121,69
2022,94121,56
2022,94121,75
2022,94121,88
2022,94122,86
2022,94122,84
2022,94122,109
2022,94122,132
2022,94123,53
2022,94123,54
2022,94123,56
2022,94123,66
2022,94124,42
2022,94124,41
2022,94124,42
2022,94124,71
2022,94127,49
2022,94127,54
2022,94127,66
2022,94127,78
2022,94129,9
2022,94129,10
2022,94129,9
2022,94129,16
2022,94130,1
2022,94130,4
2022,94130,4
2022,94131,95
2022,94131,82
2022,94131,65
2022,94131,89
2022,94132,35
2022,94132,37
2022,94132,37
2022,94132,44
2022,94133,23
2022,94133,28
2022,94133,17
2022,94133,30
2022,94134,52
2022,94134,69
2022,94134,53
2022,94134,77
2022,94140,1
2022,94158,30
2022,94158,22
2022,94158,23
2022,94158,39
2023,94102,21
2023,94102,39
2023,94102,38
2023,94102,33
2023,94103,51
2023,94103,107
2023,94103,136
2023,94103,80
2023,94104,6
2023,94104,64
2023,94104,30
2023,94104,6
2023,94105,54
2023,94105,76
2023,94105,66
2023,94105,61
2023,94107,87
2023,94107,481
2023,94107,447
2023,94107,104
2023,94108,8
2023,94108,11
2023,94108,12
2023,94108,12
2023,94109,56
2023,94109,80
2023,94109,92
2023,94109,63
2023,94110,118
2023,94110,126
2023,94110,120
2023,94110,89
2023,94111,9
2023,94111,20
2023,94111,17
2023,94111,8
2023,94112,185
2023,94112,253
2023,94112,176
2023,94112,139
2023,94114,106
2023,94114,112
2023,94114,95
2023,94114,97
2023,94115,73
2023,94115,73
2023,94115,79
2023,94115,63
2023,94116,151
2023,94116,164
2023,94116,156
2023,94116,111
2023,94117,70
2023,94117,92
2023,94117,87
2023,94117,78
2023,94118,92
2023,94118,113
2023,94118,99
2023,94118,83
2023,94119,1
2023,94119,1
2023,94119,1
2023,94121,109
2023,94121,122
2023,94121,111
2023,94121,86
2023,94122,146
2023,94122,192
2023,94122,147
2023,94122,121
2023,94123,43
2023,94123,74
2023,94123,64
2023,94123,64
2023,94124,70
2023,94124,124
2023,94124,85
2023,94124,61
2023,94127,78
2023,94127,91
2023,94127,81
2023,94127,77
2023,94129,12
2023,94129,11
2023,94129,8
2023,94129,10
2023,94130,4
2023,94130,4
2023,94130,4
2023,94130,4
2023,94131,97
2023,94131,99
2023,94131,111
2023,94131,100
2023,94132,89
2023,94132,86
2023,94132,73
2023,94132,57
2023,94133,36
2023,94133,39
2023,94133,42
2023,94133,37
2023,94134,97
2023,94134,131
2023,94134,99
2023,94134,82
2023,94141,1
2023,94147,1
2023,94158,30
2023,94158,41
2023,94158,49
2023,94158,35
2024,94102,37
2024,94102,46
2024,94102,47
2024,94103,82
2024,94103,99
2024,94103,97
2024,94104,5
2024,94104,7
2024,94104,5
2024,94105,58
2024,94105,69
2024,94105,66
2024,94107,89
2024,94107,111
2024,94107,129
2024,94108,13
2024,94108,8
2024,94108,14
2024,94109,85
2024,94109,81
2024,94109,82
2024,94110,125
2024,94110,119
2024,94110,127
2024,94111,16
2024,94111,12
2024,94111,17
2024,94112,169
2024,94112,167
2024,94112,160
2024,94114,107
2024,94114,105
2024,94114,93
2024,94115,73
2024,94115,88
2024,94115,65
2024,94116,143
2024,94116,95
2024,94116,140
2024,94117,84
2024,94117,69
2024,94117,69
2024,94118,110
2024,94118,93
2024,94118,81
2024,94119,1
2024,94121,106
2024,94121,93
2024,94121,96
2024,94122,142
2024,94122,121
2024,94122,129
2024,94123,123
2024,94123,77
2024,94123,79
2024,94124,71
2024,94124,69
2024,94124,112
2024,94126,1
2024,94127,72
2024,94127,79
2024,94127,71
2024,94128,1
2024,94129,12
2024,94129,9
2024,94129,12
2024,94130,4
2024,94130,4
2024,94130,2
2024,94131,95
2024,94131,97
2024,94131,91
2024,94132,72
2024,94132,76
2024,94132,71
2024,94133,38
2024,94133,44
2024,94133,45
2024,94134,94
2024,94134,88
2024,94134,77
2024,94143,1
2024,94143,1
2024,94143,2
2024,94147,1
2024,94158,38
2024,94158,36
2024,94158,40
2024,94159,1
