NAME,GEOM
36TH AVE,"LINESTRING (-122.497182737 37.773848713, -122.497046822 37.771982947)"
CRESCENT AVE,"LINESTRING (-122.422120807 37.735152848, -122.420223758 37.735058129)"
KEITH ST,"LINESTRING (-122.422120807 37.735152848, -122.420223758 37.735058129)"
34TH AVE,"LINESTRING (-122.38772939 37.731231789, -122.3896006 37.732289962)"
CARROLL AVE,"LINESTRING (-122.493330784 37.764732912, -122.493198799 37.762853316)"
47TH AVE,"LINESTRING (-122.50468026 37.773505194, -122.504544349 37.771640387)"
SAN BENITO WAY,"LINESTRING (-122.467100065 37.730490851, -122.467238663 37.730132829, -122.467495765 37.729664498, -122.467715834 37.729374565, -122.468077262 37.728974767)"
REVERE AVE,"LINESTRING (-122.384556305 37.728485849, -122.386418476 37.729542712)"
SILVER AVE,"LINESTRING (-122.402201724 37.734481537, -122.401807982 37.734727322)"
BEVERLY ST,"LINESTRING (-122.471652114 37.719640203, -122.471673585 37.721631204)"
LUNADO WAY,"LINESTRING (-122.471304038 37.723720071, -122.471186243 37.725934637)"
SILVER AVE,"LINESTRING (-122.401556207 37.734884486, -122.400952394 37.735261395)"
VERMONT ST,"LINESTRING (-122.403405609 37.753178368, -122.403287329 37.751902215)"
20TH AVE,"LINESTRING (-122.477283252 37.7504629, -122.477153596 37.74859811)"
20TH AVE,"LINESTRING (-122.477153596 37.74859811, -122.47702389 37.746732518)"
35TH AVE,"LINESTRING (-122.492575849 37.738567628, -122.492470906 37.73706904)"
CLEARFIELD DR,"LINESTRING (-122.49143643 37.732010206, -122.491345356 37.73070362)"
BEACH ST ,"LINESTRING (-122.441939611 37.803916528, -122.443602518 37.803704937)"
PALOU AVE,"LINESTRING (-122.383431184 37.729737553, -122.381564415 37.728678012)"
CHENERY ST,"LINESTRING (-122.42581359 37.742140591, -122.425577809 37.739794704)"
23RD ST ,"LINESTRING (-122.429807778 37.753158475, -122.432023554 37.753024912)"
CHENERY ST ,"LINESTRING (-122.42581359 37.742140591, -122.425577809 37.739794704)"
RICHLAND AVE,"LINESTRING (-122.426990742 37.736528383, -122.426209491 37.736074463, -122.424595247 37.735944169, -122.424466263 37.736061172)"
SAN JOSE AVE,"LINESTRING (-122.421437586 37.750449696, -122.421390934 37.749962465)"
UPLAND DR,"LINESTRING (-122.46180645 37.728720413, -122.462004168 37.728679126, -122.462295125 37.728654324, -122.462529709 37.728684342, -122.462799014 37.728791612, -122.463558996 37.729175595)"
VERMONT ST,"LINESTRING (-122.404371726 37.763381755, -122.404258773 37.762112672)"
GUTTENBERG ST,"LINESTRING (-122.444571083 37.712783427, -122.444097098 37.711689443)"
POST ST,"LINESTRING (-122.436368359 37.784736067, -122.438019672 37.784530919)"
CLEARFEILD DR,"LINESTRING (-122.49143643 37.732010206, -122.491345356 37.73070362)"
